+-----------------+-------------+----------------+------------------+
| Количество эпох | Размер окна | Норма обучения | Суммарная ошибка |
|      12000      |      3      |      0.45      |      0.0781      |
|      12000      |      3      |      0.5       |      0.0474      |
|      12000      |      3      |      0.55      |      0.0582      |
|      12000      |      3      |      0.6       |      0.0399      |
|      12000      |      3      |      0.65      |      0.0442      |
|      12000      |      3      |      0.7       |      0.0318      |
|      12000      |      3      |      0.75      |      0.0373      |
|      12000      |      3      |      0.8       |      0.0245      |
|      12000      |      3      |      0.85      |      0.0246      |
|      12000      |      3      |      0.9       |      0.0198      |
|      12000      |      3      |      0.95      |      0.0259      |
|      12000      |      4      |      0.05      |      1.8182      |
|      12000      |      4      |      0.1       |      0.324       |
|      12000      |      4      |      0.15      |      0.1105      |
|      12000      |      4      |      0.2       |      0.0225      |
|      12000      |      4      |      0.25      |      0.0152      |
|      12000      |      4      |      0.3       |      0.0052      |
|      12000      |      4      |      0.35      |      0.0029      |
|      12000      |      4      |      0.4       |      0.0021      |
|      12000      |      4      |      0.45      |      0.0022      |
